id,container_id,shipping_company,vizion_reference_id,vision_organization_id,bill_of_lading,latest_status,created_at,updated_at,finished_journey,uploaded
295,FFAU1583965,COSU,b0b930fb-e75b-4589-af2e-c132e787c4ed,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6308193230,,2021-08-07 21:00:04.749018,2021-08-07 21:30:36.460859,f,f
296,FFAU3273824,COSU,8b327521-1c50-46db-b1d2-e2ad975f46ed,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6308193230,,2021-08-07 21:00:04.757844,2021-08-07 21:30:40.319647,f,f
297,OOLU7534812,COSU,4392ddfc-320e-4958-b098-34c1dfcd4d5a,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6308193230,,2021-08-07 21:00:04.766491,2021-08-07 21:30:44.163613,f,f
298,SEGU6849416,HDMU,98a0249c-6b66-49ff-a35d-f38986abbc4b,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,HDMUSELM13156400,,2021-08-07 21:00:04.776978,2021-08-07 21:30:47.982676,f,f
301,BSIU9211850,HDMU,be171d72-ced9-49dd-a0a4-b7b058deb251,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,HDMUSELM13156400,,2021-08-07 21:00:04.801684,2021-08-07 21:30:58.922859,f,f
304,OOLU9802679,COSU,7b6d6008-ab08-466d-bf1d-391ca05d792d,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6308306240,,2021-08-07 21:00:04.84275,2021-08-07 21:31:10.021337,f,f
305,OOLU7500010,COSU,b8b05cce-5b12-44f5-9773-7875725699e2,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6308512400,,2021-08-07 21:00:04.991599,2021-08-07 21:31:13.521737,f,f
306,CCLU4360497,COSU,7ef7d598-88fb-4861-9613-b4bff79a7423,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6308512400,,2021-08-07 21:00:05.003878,2021-08-07 21:31:17.048345,f,f
307,CSLU6071241,COSU,26a49d14-99ca-4bad-b375-6781bd55c9cc,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6308421400,,2021-08-07 21:00:05.013455,2021-08-07 21:31:20.642888,f,f
308,FCIU7199445,COSU,943cfca6-9b67-4059-85fc-b1093669a6cd,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6308421400,,2021-08-07 21:00:05.030417,2021-08-07 21:31:24.210569,f,f
309,CBHU9441919,COSU,d9faa0f1-17fe-4328-87fc-7d7e06a532e7,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6308421400,,2021-08-07 21:00:05.039652,2021-08-07 21:31:27.86618,f,f
310,CBHU9109057,COSU,6574a70a-1970-4d17-8de3-c3a0c3972727,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6308421400,,2021-08-07 21:00:05.049097,2021-08-07 21:31:31.424979,f,f
60,KOCU4209016,HDMU,e736e949-2701-4251-b5fc-c645ecd05e23,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,HDMUJKTM62025300,,2021-07-30 21:00:04.053456,2021-07-30 21:31:03.416381,t,t
62,HMMU6243292,HDMU,de76eb7f-39f3-40a0-b99d-73cb350a8423,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,HDMUJKTM62025300,,2021-07-30 21:00:04.07086,2021-07-30 21:31:09.889387,t,t
78,FCIU9234632,ONEY,af970b21-3aad-464e-8695-1efb0907b2ea,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,ONEYSRGB30650600,,2021-07-30 21:00:04.281819,2021-07-30 21:32:00.960029,t,t
79,FDCU0634031,ONEY,749b2c1b-9eb7-41c1-b155-bc71c3f333e5,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,ONEYSRGB30650600,,2021-07-30 21:00:04.290069,2021-07-30 21:32:04.421008,t,t
192,TCNU6860432,ONEY,409f20cd-6c9d-4f9d-b3cb-7ac4dba17fb3,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,ONEYDACB14745300,,2021-07-31 21:00:04.216072,2021-07-31 21:33:35.863323,t,t
193,TRHU4342130,ONEY,3ea25557-8fc8-4bd0-89b5-bab707ea6075,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,ONEYDACB14401600,,2021-07-31 21:00:04.334487,2021-07-31 21:33:39.103843,t,t
195,NYKU4387936,ONEY,752e15b9-def4-4c05-b160-8e60ab2a115b,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,ONEYDACB14818400,,2021-07-31 21:00:04.352313,2021-07-31 21:33:45.676358,t,t
196,NYKU5162169,ONEY,64c3aaaf-9eb3-4e60-a703-e1081434e597,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,ONEYDACB14818400,,2021-07-31 21:00:04.360966,2021-07-31 21:33:48.902274,t,t
75,EITU1038684,EGLV,10e5828d-38cf-4202-acb0-0a1c879e56aa,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,EGLV080100303992,,2021-07-30 21:00:04.221035,2021-08-02 22:56:09.924406,t,t
68,TCNU4502888,EGLV,f977934c-443c-4863-96d8-0b53f55de91d,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,EGLV080100304018,,2021-07-30 21:00:04.16082,2021-08-02 22:54:16.965798,t,t
267,CAAU5822555,MEDU,0ac4958d-75c6-4942-a869-1c7c58c25607,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,MEDUKA848374,,2021-08-05 21:00:04.258543,2021-08-05 21:30:17.602495,t,t
269,FDCU0058430,MEDU,5144a5bc-0550-4060-9d42-4943bea03f83,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,MEDUKA848374,,2021-08-05 21:00:04.276049,2021-08-05 21:30:24.172971,t,t
316,OOLU8963149,OOLU,71fc744e-4cbf-4239-9ea9-29a5e6eef9a2,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,OOLU2669839560,,2021-08-12 14:00:04.686081,2021-08-12 14:30:03.324481,t,t
59,BSIU9264228,HDMU,77a40b37-e84b-448f-9c3a-64b90838581a,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,HDMUJKTM62025300,,2021-07-30 21:00:04.044986,2021-07-30 21:31:00.160539,t,t
303,GAOU6205117,HDMU,a7e9b8f6-e85a-4628-b8c3-dce46b056357,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,HDMUSELM13156400,,2021-08-07 21:00:04.818724,2021-08-07 21:31:06.26155,t,t
155,DFSU7383311,COSU,a153a4f3-20c9-4588-b178-c212fedc0540,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6304334090,,2021-07-30 21:00:05.276503,2021-07-30 21:36:09.239967,t,t
299,KOCU4756857,HDMU,1dc87823-a529-4c3b-858d-b231f6a58a8e,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,HDMUSELM13156400,,2021-08-07 21:00:04.785138,2021-08-07 21:30:51.741521,t,t
268,MEDU7674701,MEDU,52ace4f9-641b-4b65-9686-748a18ad0b53,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,MEDUKA848374,,2021-08-05 21:00:04.267068,2021-08-05 21:30:20.882349,t,t
270,INKU6723523,MEDU,f5b26b98-64cf-4e58-a94d-106713d2eb02,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,MEDUKA848374,,2021-08-05 21:00:04.285278,2021-08-05 21:30:27.417746,t,t
208,NYKU4627364,ONEY,da2bfa7f-7be1-49d1-861c-07dc020da977,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,ONEYDACB14521900,,2021-08-03 21:00:04.256791,2021-08-03 21:30:20.155879,t,t
191,TRHU5320496,ONEY,8b4c09bc-4202-429c-b85c-ec9a0d491ccb,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,ONEYDACB14519900,,2021-07-31 21:00:04.024268,2021-07-31 21:33:32.632288,t,t
285,FFAU2317574,MEDU,c6e6dc67-e1be-4328-9b5a-1a8fd0d76d1f,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,MEDUKA852244,,2021-08-06 14:00:03.765197,2021-08-06 14:30:03.107449,t,t
35,TCNU2859074,EGLV,3eb2b7f0-b955-4326-90a3-dccdaa930380,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,EGLV236100284675,,2021-07-30 01:23:07.038308,2021-08-02 22:55:52.607996,t,t
271,MEDU4785189,MEDU,737b0c0f-ce09-47df-8416-30d2293b024d,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,MEDUKA848374,,2021-08-05 21:00:04.293934,2021-08-05 21:30:30.707693,t,t
266,BEAU5923306,MEDU,7b724bb5-2a38-40c0-a55a-17c79c499b9a,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,MEDUKA848374,,2021-08-05 21:00:04.247941,2021-08-05 21:30:14.342004,t,t
